orderId	X	Y	Z	RX	RY	RZ	J1	J2	J3	J4	J5	J6
1	0.20570389	-0.448572602	0.442868633	-0.936113	-1.53192	2.50675	-0.744147301	-0.139710367	1.883201241	2.056949377	0.743920088	1.577057719
2	0.124432857	-0.565439496	0.264447831	-0.936096	-1.53193	2.50673	-1.0608325	-0.580607414	1.829541087	2.436557293	1.060456276	1.589198828
3	-0.027242974	-0.573093401	0.264449347	-0.936065	-1.53192	2.50669	-1.371522784	-0.566636682	1.855939507	2.44609046	1.371046424	1.597437263
4	-0.167842641	-0.573095141	0.330779645	-0.936039	-1.53192	2.50666	-1.665973663	-0.504976213	1.722132206	2.250258207	1.665409327	1.604289055
5	-0.167842988	-0.573095248	0.262537812	-0.935986	-1.53193	2.5066	-1.665973663	-0.618805707	1.764362693	2.406318188	1.66540575	1.604285479
6	-0.191264292	-0.573095004	0.225278362	-0.936058	-1.53193	2.50667	-1.712760091	-0.702339232	1.746381044	2.471997738	1.7121768	1.605382085
7	-0.320559035	-0.52763421	0.267677763	-0.935796	-1.53192	2.50641	-1.980004311	-0.66731596	1.652168274	2.344607115	1.979344964	1.612079978
8	-0.333934767	-0.519296296	0.154372993	-0.935997	-1.53192	2.50661	-2.009697199	-0.8805632	1.652670383	2.558687925	2.009030342	1.612905264
9	-0.259529036	-0.539100721	0.088185703	-0.935893	-1.53193	2.50651	-1.860513806	-0.988970339	1.706302881	2.719321728	1.859891891	1.608954787
10	-0.092587863	-0.539100969	0.077768665	-0.935933	-1.53193	2.50655	-1.505235314	-0.956748545	1.896262527	2.87610817	1.504709482	1.600569725
11	-0.120205587	-0.582391849	-0.088074757	-0.936165	-1.53193	2.50678	-1.568040729	-1.388295054	1.51372242	2.925057888	1.567498803	1.602025867
12	0.141599438	-0.563013482	-0.044580658	-0.935935	-1.53193	2.50655	-1.026911497	-1.277098656	1.631299376	2.935335875	1.026534319	1.588142395
13	0.141599288	-0.563013235	-0.076280585	-0.935965	-1.53194	2.50658	-1.026911497	-1.352938056	1.576803446	2.956676245	1.026534319	1.588142395
14	0.141598698	-0.563012815	-0.14341974	-0.935997	-1.53193	2.50661	-1.026911497	-1.514720559	1.439450741	2.981108904	1.026530743	1.58814621
15	0.11586923	-0.546027938	-0.246098006	-0.935951	-1.53193	2.50657	-1.056389928	-1.760480523	1.240713	3.027671099	1.055999517	1.589055777
16	0.086819486	-0.546028919	-0.318408902	-0.935969	-1.53193	2.50659	-1.113834262	-1.95181489	1.0082165	2.985716343	1.113426208	1.590750456
17	-0.011049444	-0.574091733	-0.252514	-0.935929	-1.53194	2.50654	-1.337923288	-1.782886386	1.176345944	2.982913733	1.337443709	1.596608162
18	-0.036295475	-0.574091957	-0.309206109	-0.935966	-1.53194	2.50658	-1.391041517	-1.938554525	0.967948377	2.929921627	1.390549421	1.59788835
19	-0.142740598	-0.574091725	-0.278310511	-0.935879	-1.53193	2.50649	-1.614658833	-1.865228772	1.013139725	2.90143609	1.614104748	1.60308969
20	-0.22622131	-0.574091494	-0.278311243	-0.935964	-1.53194	2.50658	-1.780054212	-1.893583536	0.888986051	2.806122303	1.779455781	1.606970429
21	-0.317464363	-0.574090406	-0.278311215	-0.936009	-1.53193	2.50662	-1.942247033	-1.962748408	0.655068994	2.642539263	1.941600919	1.61105299
22	0.065651957	-0.610857059	-0.351919054	-2.96215	-1.50152	-1.77607	-1.204866052	-2.07918334	0.671510518	2.676981926	1.180419087	1.61127305
23	0.133314476	-0.610855588	-0.351920702	-2.96214	-1.50152	-1.77608	-1.084894776	-2.100686073	0.599663734	2.622232914	1.060790062	1.621374846
24	0.133313118	-0.618979975	0.022354363	-2.96226	-1.50152	-1.77597	-1.092077613	-1.134449124	1.594016552	2.650656462	1.067939043	1.620729089
25	-0.11667573	-0.316995352	0.207240425	-2.96218	-1.50152	-1.77604	-1.538237691	-0.356699109	2.597778082	2.886202335	1.512966156	1.58713007
